gene,CELL-0,CELL-1,CELL-2,CELL-3,CELL-4,CELL-5,CELL-6,CELL-7,CELL-8,CELL-9,CELL-10,CELL-11,CELL-12,CELL-13,CELL-14
ABCC2,8.593830799601047,5.30865494107107,7.709168469706817,5.02206187231591,9.521334593986246,6.398435966027714,5.235995415713039,11.104848050742163,5.351056287429122,3.5575533005477276,6.40382000392022,5.922329922883841,8.132649106332515,4.156732151004378,7.609433862958995
ABCC3,7.705496941148582,4.664625416129859,6.326488011445355,4.338496086291325,10.691616147681335,4.591720875439666,5.093851112662572,3.8683239560732505,5.3077574496536535,5.988247946606192,7.535578270689373,4.779026707868601,5.628452082656828,3.167021267171916,4.345195546467689
ABCC4,11.511615116551901,8.082486383389591,4.43715191664537,3.3252055169434174,4.048834338800684,5.956618280972529,6.069455576718381,4.511278798138288,3.4268510665247116,8.844757010496892,6.903370902590192,5.250863960864129,5.558677584367826,4.940939081748661,0.12790910796577482
ABCC5,6.2313236541852515,3.858911180608468,3.994631401934361,4.719475189219253,7.464603429422595,3.658938383184634,3.131437080651756,7.279704150344757,7.5087378092791015,4.082132584411556,7.124795354585919,5.416735139170496,6.602584353107121,3.4780794398689316,7.6657888987216705
ABCC6,8.406517908232995,7.274146471252367,7.116679923390286,-1.5445503122454678,6.52125949813388,5.949109366614913,5.705908986307334,4.73884402005796,6.110729949827108,6.824234810256668,5.47242367891875,5.073351720580258,8.459507621878542,3.7892657854617493,8.060310395647754
ABCC8,6.353624927461049,4.391388709435145,5.420036207861372,4.160012794375606,7.3501290368188785,6.695803523940943,4.886407649693638,3.795563401891554,6.6034321870021415,7.9147712136838635,5.7723273012362375,6.836705001778446,5.247945698900515,6.135138412018854,5.417434177212623
ABCC9,6.588084285949961,2.980454973928546,7.288381046379378,5.54013503679337,6.71721613529877,5.319379745067582,6.640722378748207,3.854874391742157,8.378308824976925,2.5929108247254042,3.9215223704416275,6.471332139079268,8.925684570369153,6.556252603616062,5.5041830894418275
ABCG2,3.1498197135134713,5.617446671139735,5.960245977915813,9.381137290678794,7.244250443211564,2.941814250143107,10.053558190486385,5.209980249002414,4.241080570591366,8.94964530417382,5.9004884794060635,5.265194801243802,6.437571977870463,7.689777560751432,7.986672408899301
ABHD11,3.249595199894519,9.996962940543458,7.893723175991251,5.241597875973698,4.362680296957168,4.061975138483588,6.246756875152365,4.703967411620746,4.470252069426959,7.622508809883271,6.729134687652647,5.210857483152577,7.468495192370746,8.734757252611342,3.8110073747407083
ABHD12,4.793416231715504,7.885243680439753,7.4378811316301086,6.453397712875985,8.324842375116916,3.8235765417618053,3.041724332457792,4.266985285446204,6.24508819107208,4.407826449809792,5.025563687150616,4.0499997617993975,4.759141710810194,3.9904255620140114,6.734932411491226
ABHD16A,7.589782135966439,5.0391081209635775,5.5854684090586435,4.83793485497617,7.062502431272378,6.17811207747844,9.188313800676429,3.8090559267249327,6.725004998382095,6.887982799293338,5.279119658018204,7.167068254765487,3.1229547020191233,10.237606061458642,3.315911093427117
ABHD17B,7.839614521129976,3.757754642121554,8.301766062463505,5.230451946781995,6.316845814324423,6.106687511413469,8.20146819004959,5.356905099714147,0.06563258003211292,4.4798824198711324,6.367424646177897,5.1190635902594765,7.539641702641596,8.030653991948938,5.704456380200381
ABHD6,3.0207092112349763,8.768330220011794,8.166107000213636,5.401617731465953,10.216576822785505,5.302249079814671,3.725760559163249,5.688253132497989,8.15566743101154,4.125093114914968,9.902450155486896,4.2069475708558866,7.908844552762481,7.088924748406354,5.691885880834353
ABL1,8.161065957435515,3.0004024222636105,8.715143573866378,5.872631942059517,4.915129500272974,7.4983480960801625,8.119798027198488,7.539590861247233,9.999007642089973,8.161452152100196,8.567013264840812,4.920272125646971,6.213047554124059,7.125965164651046,5.964515526593413
ABL2,6.603270466346472,6.852209532269137,7.688487835363071,5.796782218459952,5.300401569216238,4.3433686995668985,4.216535347715457,8.344902454692646,5.830957023995095,7.573888762181086,3.405272307314496,2.1236637843216344,3.9018175380000732,8.29325393501901,8.136154879664918
ACACA,6.66407721570417,4.395659699680081,5.738394716868291,5.404479040402135,5.310053307809366,0.9878603253687359,4.284147228075606,5.61978224863553,9.032855579624188,6.321486118263489,8.801776572525615,5.2125861824811075,5.494622837504384,-1.798843460108678,6.926660678414038
ACACB,7.094191322678667,9.527518139118747,5.026477578414342,6.188308312394093,4.588944090557833,3.6474858701594375,4.573784066526083,5.310002951828425,8.710876057339627,6.0044232051467565,4.418910380664249,6.283755656483466,6.4351427111200685,4.647535888050078,8.28646725325919
ACAT1,2.2233022180467,5.572910743834027,7.330132131258491,3.3231349610462906,6.722507497286753,8.58578610038761,6.9073425285139365,2.6196801140461474,4.543609945129503,8.464606805008525,6.596670490130588,5.980282123020049,6.88240118943098,7.442097900011753,4.583069526804014
ACE,5.419199839854089,6.285827299333639,4.912084556425349,5.733096882925491,8.595743522363986,4.064360270615889,9.85332541827028,9.758688754763972,2.573121124071379,5.717954669773955,6.685383139291359,4.478257824987143,4.5178389926305424,5.525168606530907,7.478356174223101
ACE2,4.977332322105811,9.653387623240233,6.579948004677064,5.794849431833352,8.898519370262916,7.252562390120705,6.738573551375148,5.33771923446095,9.6279712277855,7.6236431794799735,5.593177328110575,2.8456016986345927,6.745903083523844,3.7125198157968198,2.5681080964833587
ACER1,5.4416969890644715,6.562942205181245,8.564962467366328,6.564903650570498,7.612039054341501,3.5482345895536906,5.954935645064886,6.24842263860901,7.7244923692398215,6.2321213468620344,7.608157916239746,4.9916015044457325,6.715909812426314,6.829732802508846,3.500448550826698
ACER2,6.351077257135286,5.3592749460971865,2.191824102767931,7.916813360282797,5.276282639391398,4.2952198837482785,5.245366512612371,6.276400606296643,9.01581896869428,5.668133593987595,6.944814993917021,8.747158753795524,7.067101062547586,8.137128314837582,5.0469802820980885
ACHE,7.542098652947955,5.8840479998606146,8.14882247497836,3.992880856015719,4.440884493514511,8.537463145410765,5.6078320548612615,5.282078706591061,6.155144838700479,4.621005085294278,8.66388273706112,3.50167469664819,5.69880400327919,6.693905571404724,5.791105861866876
ACKR3,4.3954249092642375,4.263221606494958,6.8507888516416475,3.939039099666598,7.292485411430081,2.951703272709416,4.890033806566631,6.0726120447394925,3.4956961131107684,7.304021727053184,5.962922373380995,3.927852636820915,2.962223540499209,2.868821257254719,6.102067890260657
